image_path,yellow_pct,dark_pct
../data/raw/banana_set_large\20230213_075843_jpg.rf.2399f7aad022ccf5cb7351d695857e2f.jpg,9.7,20.8
../data/raw/banana_set_large\20230213_075847_jpg.rf.b1ff79e3e719107249adb757140d6758.jpg,40.4,13.2
../data/raw/banana_set_large\20230213_075849_jpg.rf.c84c8ae05fda87e8b5375607c5ed415f.jpg,26.3,14.9
../data/raw/banana_set_large\20230213_075850_jpg.rf.2a433694c716d62da72966642803ea93.jpg,22.7,18.1
../data/raw/banana_set_large\20230213_075854_jpg.rf.3d70b299e60e800e748427ad5bd5d713.jpg,38.1,11.3
../data/raw/banana_set_large\20230213_075856_jpg.rf.61d8c6b01391b485e22ded8ed03c037c.jpg,20.6,18.8
../data/raw/banana_set_large\20230213_075858_jpg.rf.ab2063cf124f260088aa9506bc0cbdfb.jpg,22.8,16.8
../data/raw/banana_set_large\20230213_075906_jpg.rf.4d93258e386d7511180d3905ad0fbc31.jpg,45.0,10.5
../data/raw/banana_set_large\20230213_075907_jpg.rf.46e5cfb38601f9f81ed786b3073bd9a8.jpg,31.2,13.8
../data/raw/banana_set_large\20230213_075916_jpg.rf.1e8a1c80732159fe8140af623b1a5c9a.jpg,24.9,8.0
../data/raw/banana_set_large\20230213_075926_jpg.rf.d9c82c9d624f71f0c915d75fc2832c31.jpg,25.3,12.8
../data/raw/banana_set_large\20230213_075934_jpg.rf.5604c976f5a2b45dd509bf83e1e2a947.jpg,23.4,22.2
../data/raw/banana_set_large\20230213_075945_jpg.rf.d821806d8e56d4d449ba9b80b5fe955f.jpg,25.8,11.5
../data/raw/banana_set_large\20230213_075953_jpg.rf.1e22ea86fef8df152da321843bb076ea.jpg,26.4,13.5
../data/raw/banana_set_large\20230213_080002_jpg.rf.9839ff7bfc0cfde453347e5f98f840ff.jpg,25.6,14.0
../data/raw/banana_set_large\20230213_080038_jpg.rf.9272ba9864d3778e305db03ec5415183.jpg,43.8,20.6
../data/raw/banana_set_large\20230213_080045_jpg.rf.153c177db4fe1af5d3fbe06bdb2c038e.jpg,48.8,18.8
../data/raw/banana_set_large\20230213_080049_jpg.rf.3c6a42450b98a8db41b9d1f9e57abe1d.jpg,15.7,13.1
../data/raw/banana_set_large\20230213_080052_jpg.rf.a1c76e89536c5044b33e4b080f582a9e.jpg,47.2,11.6
../data/raw/banana_set_large\20230213_080054_jpg.rf.cd5d450c1a6c8dd1988a76079e9b9d9a.jpg,29.5,22.3
../data/raw/banana_set_large\20230213_080058_jpg.rf.4bf2e8ac2b99340efda195129c89652d.jpg,37.6,29.6
../data/raw/banana_set_large\20230213_080059_jpg.rf.81d843b35cca57dccb34c5b8b0b48a43.jpg,47.7,13.5
../data/raw/banana_set_large\20230213_080103_jpg.rf.ddf19edabcbc9121e474f9909aea03de.jpg,27.3,8.7
../data/raw/banana_set_large\20230213_080111_jpg.rf.2af03a51202e9a288b67f5387098742a.jpg,33.0,24.1
../data/raw/banana_set_large\20230213_080116_jpg.rf.5182a9d2b2c7894090705ac84c249370.jpg,28.0,11.8
../data/raw/banana_set_large\20230213_080118_jpg.rf.f6753c93880f4ffdf1e754a34a319b35.jpg,28.6,10.3
../data/raw/banana_set_large\20230213_080120_jpg.rf.30fa43c91b4ca91e66d203acf62bcc65.jpg,21.7,10.6
../data/raw/banana_set_large\20230213_080124_jpg.rf.c6250587d9f5fd149d4bc852b86c54c2.jpg,10.5,23.5
../data/raw/banana_set_large\20230213_080125_jpg.rf.e9a22e1b7d69325242d2ece38dcbcc82.jpg,36.7,16.6
../data/raw/banana_set_large\20230213_080131_jpg.rf.b8f488198d7e9b36f81d0a95d927e150.jpg,39.6,16.8
